"","StagesOfCare","Blounts_means","Blounts_upper2sd","Blounts_lower2sd","Rickets_means","Rickets_upper2sd","Rickets_lower2sd","Others_means","Others_upper2sd","Others_lower2sd"
"1","Preop",15.9021739130435,30.6287478756571,1.17559995042989,19.3333333333333,36.3834325222806,2.28323414438604,14.4166666666667,27.0429979796112,1.79033535372218
"2","Discharge",1.67777777777778,5.71260094364242,-2.35704538808687,3.09375,8.24763203202208,-2.06013203202208,1.75,5.93872946673028,-2.43872946673028
"3","12Month",2.97674418604651,8.90871361879413,-2.9552252467011,4.38461538461539,10.4557746115649,-1.68654384233414,3.29166666666667,8.23605436353771,-1.65272103020437
